cas_number,name,english_name,brand,specification,initial_quantity,unit,quantity,price,order_reason,applicant,order_time
443-48-1,2-(2-甲基-5-硝基-1H-咪唑-1-基)乙-1-醇,2-(2-Methyl-5-nitro-1H-imidazol-1-yl)ethan-1-ol,毕得,10g,10,g,1,396,running_out,gengshihan,
577-19-5,1-溴-2-硝基苯,1-Bromo-2-nitrobenzene,安耐吉,5g,5,g,1,393,running_out,dairongheng,
,,3-Chlorobenzoic acid,毕得,10g,10,g,1,384,running_out,dairongheng,
461-58-5,双氰胺,Dicyandiamide,安耐吉,100g,100,g,1,379.5,not_stocked,mengjunhong,
2592-95-2,1-羟基苯并三唑,1-Hydroxybenzotriazole (HOBT),Accela,25G,25,g,1,372,running_out,tanhui,
620-02-0,5-甲基呋喃-2-醛,5-Methyl-2-Furaldehyde,毕得,25g,25,g,1,371,not_stocked,sulingyu,
1200-03-9,"	4-苯氧基溴丁烷","	(4-Bromobutoxy)benzene","	毕得",1g,1,g,1,369,not_stocked,gengshihan,
7783-20-2,硫酸铵,Ammonium sulfate,凯国科技,25g,25,g,1,360,running_out,lichao,
7681-65-4,碘化亚铜,,毕得,5g,5,g,1,360,degraded,xuguofeng,
10196-04-0,亚硫酸铵,AMMONIUM SULFITE,安耐吉,100g,100,g,1,360,not_stocked,chengzengrui,
1310-73-2,氢氧化钠,Sodium hydroxide,虹湖联合,500g,500,g,1,355,not_stocked,xuguofeng,
14593-43-2,烯丙基苄基醚,((Allyloxy)methyl)benzene,毕得,1g,1,g,1,354,not_stocked,admin,
35193-64-7,"	S-联萘酚磷酸酯","(S)-(+)-1,1'-Binaphthyl-2,2'-diyl hydrogenphosphate","毕得	",1g,1,g,1,352,not_stocked,lvbin,
1460-18-0,十五烷二酸,Pentadecanedioic acid,毕得,1g,1,g,1,352,not_stocked,zhaobinzhi,
109-89-7,二乙胺,Diethylamine,,,,,1,345,running_out,zhuminghui,
1310-58-3,氢氧化钾,Potassium hydroxide,虹湖联合,500g,500,g,1,342,not_stocked,xuguofeng,
3958-60-9,2-硝基苄溴, 1-(Bromomethyl)-2-nitrobenzene,"	毕得",5g,5,g,1,340,running_out,xuyue,
